hidden_dim,batch_size,lr_adam,lr_epochs,lr_multiplicator
32,128,0.0006,50,0.1
32,128,0.0006,50,0.2
32,128,0.0006,50,0.3
32,128,0.0006,50,0.4
32,128,0.0006,50,0.5
32,128,0.0006,70,0.1
32,128,0.0006,70,0.2
32,128,0.0006,70,0.3
32,128,0.0006,70,0.4
32,128,0.0006,70,0.5
32,256,0.0001,30,0.1
32,256,0.0001,30,0.2
32,256,0.0001,30,0.3
32,256,0.0001,30,0.4
32,256,0.0001,30,0.5
32,256,0.0001,50,0.1
32,256,0.0001,50,0.2
32,256,0.0001,50,0.3
32,256,0.0001,50,0.4
32,256,0.0001,50,0.5
32,256,0.0001,70,0.1
32,256,0.0001,70,0.2
32,256,0.0001,70,0.3
32,256,0.0001,70,0.4
32,256,0.0001,70,0.5
32,256,0.0002,30,0.1
32,256,0.0002,30,0.2
32,256,0.0002,30,0.3
32,256,0.0002,30,0.4
32,256,0.0002,30,0.5
32,256,0.0002,50,0.1
32,256,0.0002,50,0.2
32,256,0.0002,50,0.3
32,256,0.0002,50,0.4
32,256,0.0002,50,0.5
32,256,0.0002,70,0.1
32,256,0.0002,70,0.2
32,256,0.0002,70,0.3
32,256,0.0002,70,0.4
32,256,0.0002,70,0.5
32,256,0.0003,30,0.1
32,256,0.0003,30,0.2
32,256,0.0003,30,0.3
32,256,0.0003,30,0.4
32,256,0.0003,30,0.5
32,256,0.0003,50,0.1
32,256,0.0003,50,0.2
32,256,0.0003,50,0.3
32,256,0.0003,50,0.4
32,256,0.0003,50,0.5
32,256,0.0003,70,0.1
32,256,0.0003,70,0.2
32,256,0.0003,70,0.3
32,256,0.0003,70,0.4
32,256,0.0003,70,0.5
32,256,0.0004,30,0.1
32,256,0.0004,30,0.2
32,256,0.0004,30,0.3
32,256,0.0004,30,0.4
32,256,0.0004,30,0.5
32,256,0.0004,50,0.1
32,256,0.0004,50,0.2
32,256,0.0004,50,0.3
32,256,0.0004,50,0.4
32,256,0.0004,50,0.5
32,256,0.0004,70,0.1
32,256,0.0004,70,0.2
32,256,0.0004,70,0.3
32,256,0.0004,70,0.4
32,256,0.0004,70,0.5
32,256,0.0005,30,0.1
32,256,0.0005,30,0.2
32,256,0.0005,30,0.3
32,256,0.0005,30,0.4
32,256,0.0005,30,0.5
32,256,0.0005,50,0.1
32,256,0.0005,50,0.2
32,256,0.0005,50,0.3
32,256,0.0005,50,0.4
32,256,0.0005,50,0.5
32,256,0.0005,70,0.1
32,256,0.0005,70,0.2
32,256,0.0005,70,0.3
32,256,0.0005,70,0.4
32,256,0.0005,70,0.5
32,256,0.0006,30,0.1
32,256,0.0006,30,0.2
32,256,0.0006,30,0.3
32,256,0.0006,30,0.4
32,256,0.0006,30,0.5
32,256,0.0006,50,0.1
32,256,0.0006,50,0.2
32,256,0.0006,50,0.3
32,256,0.0006,50,0.4
32,256,0.0006,50,0.5
32,256,0.0006,70,0.1
32,256,0.0006,70,0.2
32,256,0.0006,70,0.3
32,256,0.0006,70,0.4
32,256,0.0006,70,0.5
32,512,0.0001,30,0.1
32,512,0.0001,30,0.2
32,512,0.0001,30,0.3
32,512,0.0001,30,0.4
32,512,0.0001,30,0.5
32,512,0.0001,50,0.1
32,512,0.0001,50,0.2
32,512,0.0001,50,0.3
32,512,0.0001,50,0.4
32,512,0.0001,50,0.5
32,512,0.0001,70,0.1
32,512,0.0001,70,0.2
32,512,0.0001,70,0.3
32,512,0.0001,70,0.4
32,512,0.0001,70,0.5
32,512,0.0002,30,0.1
32,512,0.0002,30,0.2
32,512,0.0002,30,0.3
32,512,0.0002,30,0.4
32,512,0.0002,30,0.5
32,512,0.0002,50,0.1
32,512,0.0002,50,0.2
32,512,0.0002,50,0.3
32,512,0.0002,50,0.4
32,512,0.0002,50,0.5
32,512,0.0002,70,0.1
32,512,0.0002,70,0.2
32,512,0.0002,70,0.3
32,512,0.0002,70,0.4
32,512,0.0002,70,0.5
32,512,0.0003,30,0.1
32,512,0.0003,30,0.2
32,512,0.0003,30,0.3
32,512,0.0003,30,0.4
32,512,0.0003,30,0.5
32,512,0.0003,50,0.1
32,512,0.0003,50,0.2
32,512,0.0003,50,0.3
32,512,0.0003,50,0.4
32,512,0.0003,50,0.5
32,512,0.0003,70,0.1
32,512,0.0003,70,0.2
32,512,0.0003,70,0.3
32,512,0.0003,70,0.4
32,512,0.0003,70,0.5
32,512,0.0004,30,0.1
32,512,0.0004,30,0.2
32,512,0.0004,30,0.3
32,512,0.0004,30,0.4
32,512,0.0004,30,0.5
32,512,0.0004,50,0.1
32,512,0.0004,50,0.2
32,512,0.0004,50,0.3
32,512,0.0004,50,0.4
32,512,0.0004,50,0.5
32,512,0.0004,70,0.1
32,512,0.0004,70,0.2
32,512,0.0004,70,0.3
32,512,0.0004,70,0.4
32,512,0.0004,70,0.5
32,512,0.0005,30,0.1
32,512,0.0005,30,0.2
32,512,0.0005,30,0.3
32,512,0.0005,30,0.4
32,512,0.0005,30,0.5
32,512,0.0005,50,0.1
32,512,0.0005,50,0.2
32,512,0.0005,50,0.3
32,512,0.0005,50,0.4
32,512,0.0005,50,0.5
32,512,0.0005,70,0.1
32,512,0.0005,70,0.2
32,512,0.0005,70,0.3
32,512,0.0005,70,0.4
32,512,0.0005,70,0.5
32,512,0.0006,30,0.1
32,512,0.0006,30,0.2
32,512,0.0006,30,0.3
32,512,0.0006,30,0.4
32,512,0.0006,30,0.5
32,512,0.0006,50,0.1
32,512,0.0006,50,0.2
32,512,0.0006,50,0.3
32,512,0.0006,50,0.4
32,512,0.0006,50,0.5
32,512,0.0006,70,0.1
32,512,0.0006,70,0.2
32,512,0.0006,70,0.3
32,512,0.0006,70,0.4
32,512,0.0006,70,0.5
64,64,0.0001,30,0.1
64,64,0.0001,30,0.2
64,64,0.0001,30,0.3
64,64,0.0001,30,0.4
64,64,0.0001,30,0.5
64,64,0.0001,50,0.1
64,64,0.0001,50,0.2
64,64,0.0001,50,0.3
64,64,0.0001,50,0.4
64,64,0.0001,50,0.5
64,64,0.0001,70,0.1
64,64,0.0001,70,0.2
64,64,0.0001,70,0.3
64,64,0.0001,70,0.4
64,64,0.0001,70,0.5
64,64,0.0002,30,0.1
64,64,0.0002,30,0.2
64,64,0.0002,30,0.3
64,64,0.0002,30,0.4
64,64,0.0002,30,0.5
64,64,0.0002,50,0.1
64,64,0.0002,50,0.2
64,64,0.0002,50,0.3
64,64,0.0002,50,0.4
64,64,0.0002,50,0.5
64,64,0.0002,70,0.1
64,64,0.0002,70,0.2
64,64,0.0002,70,0.3
64,64,0.0002,70,0.4
64,64,0.0002,70,0.5
64,64,0.0003,30,0.1
64,64,0.0003,30,0.2
64,64,0.0003,30,0.3
64,64,0.0003,30,0.4
64,64,0.0003,30,0.5
64,64,0.0003,50,0.1
64,64,0.0003,50,0.2
64,64,0.0003,50,0.3
64,64,0.0003,50,0.4
64,64,0.0003,50,0.5
64,64,0.0003,70,0.1
64,64,0.0003,70,0.2
64,64,0.0003,70,0.3
64,64,0.0003,70,0.4
64,64,0.0003,70,0.5
64,64,0.0004,30,0.1
64,64,0.0004,30,0.2
64,64,0.0004,30,0.3
64,64,0.0004,30,0.4
64,64,0.0004,30,0.5
64,64,0.0004,50,0.1
64,64,0.0004,50,0.2
64,64,0.0004,50,0.3
64,64,0.0004,50,0.4
64,64,0.0004,50,0.5
64,64,0.0004,70,0.1
64,64,0.0004,70,0.2
64,64,0.0004,70,0.3
64,64,0.0004,70,0.4
64,64,0.0004,70,0.5
64,64,0.0005,30,0.1
64,64,0.0005,30,0.2
64,64,0.0005,30,0.3
64,64,0.0005,30,0.4
64,64,0.0005,30,0.5
64,64,0.0005,50,0.1
64,64,0.0005,50,0.2
64,64,0.0005,50,0.3
64,64,0.0005,50,0.4
64,64,0.0005,50,0.5
64,64,0.0005,70,0.1
64,64,0.0005,70,0.2
64,64,0.0005,70,0.3
64,64,0.0005,70,0.4
64,64,0.0005,70,0.5
64,64,0.0006,30,0.1
64,64,0.0006,30,0.2
64,64,0.0006,30,0.3
64,64,0.0006,30,0.4
64,64,0.0006,30,0.5
64,64,0.0006,50,0.1
64,64,0.0006,50,0.2
64,64,0.0006,50,0.3
64,64,0.0006,50,0.4
64,64,0.0006,50,0.5
64,64,0.0006,70,0.1
64,64,0.0006,70,0.2
64,64,0.0006,70,0.3
64,64,0.0006,70,0.4
64,64,0.0006,70,0.5
64,128,0.0001,30,0.1
64,128,0.0001,30,0.2
64,128,0.0001,30,0.3
64,128,0.0001,30,0.4
64,128,0.0001,30,0.5
64,128,0.0001,50,0.1
64,128,0.0001,50,0.2
64,128,0.0001,50,0.3
64,128,0.0001,50,0.4
64,128,0.0001,50,0.5
64,128,0.0001,70,0.1
64,128,0.0001,70,0.2
64,128,0.0001,70,0.3
64,128,0.0001,70,0.4
64,128,0.0001,70,0.5
64,128,0.0002,30,0.1
64,128,0.0002,30,0.2
64,128,0.0002,30,0.3
64,128,0.0002,30,0.4
64,128,0.0002,30,0.5
64,128,0.0002,50,0.1
64,128,0.0002,50,0.2
64,128,0.0002,50,0.3
64,128,0.0002,50,0.4
64,128,0.0002,50,0.5
64,128,0.0002,70,0.1
64,128,0.0002,70,0.2
64,128,0.0002,70,0.3
64,128,0.0002,70,0.4
64,128,0.0002,70,0.5
64,128,0.0003,30,0.1
64,128,0.0003,30,0.2
64,128,0.0003,30,0.3
64,128,0.0003,30,0.4
64,128,0.0003,30,0.5
64,128,0.0003,50,0.1
64,128,0.0003,50,0.2
64,128,0.0003,50,0.3
64,128,0.0003,50,0.4
64,128,0.0003,50,0.5
64,128,0.0003,70,0.1
64,128,0.0003,70,0.2
64,128,0.0003,70,0.3
64,128,0.0003,70,0.4
64,128,0.0003,70,0.5
64,128,0.0004,30,0.1
64,128,0.0004,30,0.2
64,128,0.0004,30,0.3
64,128,0.0004,30,0.4
64,128,0.0004,30,0.5
64,128,0.0004,50,0.1
64,128,0.0004,50,0.2
64,128,0.0004,50,0.3
64,128,0.0004,50,0.4
64,128,0.0004,50,0.5
64,128,0.0004,70,0.1
64,128,0.0004,70,0.2
64,128,0.0004,70,0.3
64,128,0.0004,70,0.4
64,128,0.0004,70,0.5
64,128,0.0005,30,0.1
64,128,0.0005,30,0.2
64,128,0.0005,30,0.3
64,128,0.0005,30,0.4
64,128,0.0005,30,0.5
64,128,0.0005,50,0.1
64,128,0.0005,50,0.2
64,128,0.0005,50,0.3
64,128,0.0005,50,0.4
64,128,0.0005,50,0.5
64,128,0.0005,70,0.1
64,128,0.0005,70,0.2
64,128,0.0005,70,0.3
64,128,0.0005,70,0.4
64,128,0.0005,70,0.5
64,128,0.0006,30,0.1
64,128,0.0006,30,0.2
64,128,0.0006,30,0.3
64,128,0.0006,30,0.4
64,128,0.0006,30,0.5
64,128,0.0006,50,0.1
64,128,0.0006,50,0.2
64,128,0.0006,50,0.3
64,128,0.0006,50,0.4
64,128,0.0006,50,0.5
64,128,0.0006,70,0.1
64,128,0.0006,70,0.2
64,128,0.0006,70,0.3
64,128,0.0006,70,0.4
64,128,0.0006,70,0.5
64,256,0.0001,30,0.1
64,256,0.0001,30,0.2
64,256,0.0001,30,0.3
64,256,0.0001,30,0.4
64,256,0.0001,30,0.5
64,256,0.0001,50,0.1
64,256,0.0001,50,0.2
64,256,0.0001,50,0.3
64,256,0.0001,50,0.4
64,256,0.0001,50,0.5
64,256,0.0001,70,0.1
64,256,0.0001,70,0.2
64,256,0.0001,70,0.3
64,256,0.0001,70,0.4
64,256,0.0001,70,0.5
64,256,0.0002,30,0.1
64,256,0.0002,30,0.2
64,256,0.0002,30,0.3
64,256,0.0002,30,0.4
64,256,0.0002,30,0.5
64,256,0.0002,50,0.1
64,256,0.0002,50,0.2
64,256,0.0002,50,0.3
64,256,0.0002,50,0.4
64,256,0.0002,50,0.5
64,256,0.0002,70,0.1
64,256,0.0002,70,0.2
64,256,0.0002,70,0.3
64,256,0.0002,70,0.4
64,256,0.0002,70,0.5
64,256,0.0003,30,0.1
64,256,0.0003,30,0.2
64,256,0.0003,30,0.3
64,256,0.0003,30,0.4
64,256,0.0003,30,0.5
64,256,0.0003,50,0.1
64,256,0.0003,50,0.2
64,256,0.0003,50,0.3
64,256,0.0003,50,0.4
64,256,0.0003,50,0.5
64,256,0.0003,70,0.1
64,256,0.0003,70,0.2
64,256,0.0003,70,0.3
64,256,0.0003,70,0.4
64,256,0.0003,70,0.5
64,256,0.0004,30,0.1
64,256,0.0004,30,0.2
64,256,0.0004,30,0.3
64,256,0.0004,30,0.4
64,256,0.0004,30,0.5
64,256,0.0004,50,0.1
64,256,0.0004,50,0.2
64,256,0.0004,50,0.3
64,256,0.0004,50,0.4
64,256,0.0004,50,0.5
64,256,0.0004,70,0.1
64,256,0.0004,70,0.2
64,256,0.0004,70,0.3
64,256,0.0004,70,0.4
64,256,0.0004,70,0.5
64,256,0.0005,30,0.1
64,256,0.0005,30,0.2
64,256,0.0005,30,0.3
64,256,0.0005,30,0.4
64,256,0.0005,30,0.5
64,256,0.0005,50,0.1
64,256,0.0005,50,0.2
64,256,0.0005,50,0.3
64,256,0.0005,50,0.4
64,256,0.0005,50,0.5
64,256,0.0005,70,0.1
64,256,0.0005,70,0.2
64,256,0.0005,70,0.3
64,256,0.0005,70,0.4
64,256,0.0005,70,0.5
64,256,0.0006,30,0.1
64,256,0.0006,30,0.2
64,256,0.0006,30,0.3
64,256,0.0006,30,0.4
64,256,0.0006,30,0.5
64,256,0.0006,50,0.1
64,256,0.0006,50,0.2
64,256,0.0006,50,0.3
64,256,0.0006,50,0.4
64,256,0.0006,50,0.5
64,256,0.0006,70,0.1
64,256,0.0006,70,0.2
64,256,0.0006,70,0.3
64,256,0.0006,70,0.4
64,256,0.0006,70,0.5
64,512,0.0001,30,0.1
64,512,0.0001,30,0.2
64,512,0.0001,30,0.3
64,512,0.0001,30,0.4
64,512,0.0001,30,0.5
64,512,0.0001,50,0.1
64,512,0.0001,50,0.2
64,512,0.0001,50,0.3
64,512,0.0001,50,0.4
64,512,0.0001,50,0.5
64,512,0.0001,70,0.1
64,512,0.0001,70,0.2
64,512,0.0001,70,0.3
64,512,0.0001,70,0.4
64,512,0.0001,70,0.5
64,512,0.0002,30,0.1
64,512,0.0002,30,0.2
64,512,0.0002,30,0.3
64,512,0.0002,30,0.4
64,512,0.0002,30,0.5
64,512,0.0002,50,0.1
64,512,0.0002,50,0.2
64,512,0.0002,50,0.3
64,512,0.0002,50,0.4
64,512,0.0002,50,0.5
64,512,0.0002,70,0.1
64,512,0.0002,70,0.2
64,512,0.0002,70,0.3
64,512,0.0002,70,0.4
64,512,0.0002,70,0.5
64,512,0.0003,30,0.1
64,512,0.0003,30,0.2
64,512,0.0003,30,0.3
64,512,0.0003,30,0.4
64,512,0.0003,30,0.5
64,512,0.0003,50,0.1
64,512,0.0003,50,0.2
64,512,0.0003,50,0.3
64,512,0.0003,50,0.4
64,512,0.0003,50,0.5
64,512,0.0003,70,0.1
64,512,0.0003,70,0.2
64,512,0.0003,70,0.3
64,512,0.0003,70,0.4
64,512,0.0003,70,0.5
64,512,0.0004,30,0.1
64,512,0.0004,30,0.2
64,512,0.0004,30,0.3
64,512,0.0004,30,0.4
64,512,0.0004,30,0.5
64,512,0.0004,50,0.1
64,512,0.0004,50,0.2
64,512,0.0004,50,0.3
64,512,0.0004,50,0.4
64,512,0.0004,50,0.5
64,512,0.0004,70,0.1
64,512,0.0004,70,0.2
64,512,0.0004,70,0.3
64,512,0.0004,70,0.4
64,512,0.0004,70,0.5
64,512,0.0005,30,0.1
64,512,0.0005,30,0.2
64,512,0.0005,30,0.3
64,512,0.0005,30,0.4
64,512,0.0005,30,0.5
64,512,0.0005,50,0.1
64,512,0.0005,50,0.2
64,512,0.0005,50,0.3
64,512,0.0005,50,0.4
64,512,0.0005,50,0.5
64,512,0.0005,70,0.1
64,512,0.0005,70,0.2
64,512,0.0005,70,0.3
64,512,0.0005,70,0.4
64,512,0.0005,70,0.5
64,512,0.0006,30,0.1
64,512,0.0006,30,0.2
64,512,0.0006,30,0.3
64,512,0.0006,30,0.4
64,512,0.0006,30,0.5
64,512,0.0006,50,0.1
64,512,0.0006,50,0.2
64,512,0.0006,50,0.3
64,512,0.0006,50,0.4
64,512,0.0006,50,0.5
64,512,0.0006,70,0.1
64,512,0.0006,70,0.2
64,512,0.0006,70,0.3
64,512,0.0006,70,0.4
64,512,0.0006,70,0.5
128,64,0.0001,30,0.1
128,64,0.0001,30,0.2
128,64,0.0001,30,0.3
128,64,0.0001,30,0.4
128,64,0.0001,30,0.5
128,64,0.0001,50,0.1
128,64,0.0001,50,0.2
128,64,0.0001,50,0.3
128,64,0.0001,50,0.4
128,64,0.0001,50,0.5
128,64,0.0001,70,0.1
128,64,0.0001,70,0.2
128,64,0.0001,70,0.3
128,64,0.0001,70,0.4
128,64,0.0001,70,0.5
128,64,0.0002,30,0.1
128,64,0.0002,30,0.2
128,64,0.0002,30,0.3
128,64,0.0002,30,0.4
128,64,0.0002,30,0.5
128,64,0.0002,50,0.1
128,64,0.0002,50,0.2
128,64,0.0002,50,0.3
128,64,0.0002,50,0.4
128,64,0.0002,50,0.5
128,64,0.0002,70,0.1
128,64,0.0002,70,0.2
128,64,0.0002,70,0.3
128,64,0.0002,70,0.4
128,64,0.0002,70,0.5
128,64,0.0003,30,0.1
128,64,0.0003,30,0.2
128,64,0.0003,30,0.3
128,64,0.0003,30,0.4
128,64,0.0003,30,0.5
128,64,0.0003,50,0.1
128,64,0.0003,50,0.2
128,64,0.0003,50,0.3
128,64,0.0003,50,0.4
128,64,0.0003,50,0.5
128,64,0.0003,70,0.1
128,64,0.0003,70,0.2
128,64,0.0003,70,0.3
128,64,0.0003,70,0.4
128,64,0.0003,70,0.5
128,64,0.0004,30,0.1
128,64,0.0004,30,0.2
128,64,0.0004,30,0.3
128,64,0.0004,30,0.4
128,64,0.0004,30,0.5
128,64,0.0004,50,0.1
128,64,0.0004,50,0.2
128,64,0.0004,50,0.3
128,64,0.0004,50,0.4
128,64,0.0004,50,0.5
128,64,0.0004,70,0.1
128,64,0.0004,70,0.2
128,64,0.0004,70,0.3
128,64,0.0004,70,0.4
128,64,0.0004,70,0.5
128,64,0.0005,30,0.1
128,64,0.0005,30,0.2
128,64,0.0005,30,0.3
128,64,0.0005,30,0.4
128,64,0.0005,30,0.5
128,64,0.0005,50,0.1
128,64,0.0005,50,0.2
128,64,0.0005,50,0.3
128,64,0.0005,50,0.4
128,64,0.0005,50,0.5
128,64,0.0005,70,0.1
128,64,0.0005,70,0.2
128,64,0.0005,70,0.3
128,64,0.0005,70,0.4
128,64,0.0005,70,0.5
128,64,0.0006,30,0.1
128,64,0.0006,30,0.2
128,64,0.0006,30,0.3
128,64,0.0006,30,0.4
128,64,0.0006,30,0.5
128,64,0.0006,50,0.1
128,64,0.0006,50,0.2
128,64,0.0006,50,0.3
128,64,0.0006,50,0.4
128,64,0.0006,50,0.5
128,64,0.0006,70,0.1
128,64,0.0006,70,0.2
128,64,0.0006,70,0.3
128,64,0.0006,70,0.4
128,64,0.0006,70,0.5
128,128,0.0001,30,0.1
128,128,0.0001,30,0.2
128,128,0.0001,30,0.3
128,128,0.0001,30,0.4
128,128,0.0001,30,0.5
128,128,0.0001,50,0.1
128,128,0.0001,50,0.2
128,128,0.0001,50,0.3
128,128,0.0001,50,0.4
128,128,0.0001,50,0.5
128,128,0.0001,70,0.1
128,128,0.0001,70,0.2
128,128,0.0001,70,0.3
128,128,0.0001,70,0.4
128,128,0.0001,70,0.5
128,128,0.0002,30,0.1
128,128,0.0002,30,0.2
128,128,0.0002,30,0.3
128,128,0.0002,30,0.4
128,128,0.0002,30,0.5
128,128,0.0002,50,0.1
128,128,0.0002,50,0.2
128,128,0.0002,50,0.3
128,128,0.0002,50,0.4
128,128,0.0002,50,0.5
128,128,0.0002,70,0.1
128,128,0.0002,70,0.2
128,128,0.0002,70,0.3
128,128,0.0002,70,0.4
128,128,0.0002,70,0.5
128,128,0.0003,30,0.1
128,128,0.0003,30,0.2
128,128,0.0003,30,0.3
128,128,0.0003,30,0.4
128,128,0.0003,30,0.5
128,128,0.0003,50,0.1
128,128,0.0003,50,0.2
128,128,0.0003,50,0.3
128,128,0.0003,50,0.4
128,128,0.0003,50,0.5
128,128,0.0003,70,0.1
128,128,0.0003,70,0.2
128,128,0.0003,70,0.3
128,128,0.0003,70,0.4
128,128,0.0003,70,0.5
128,128,0.0004,30,0.1
128,128,0.0004,30,0.2
128,128,0.0004,30,0.3
128,128,0.0004,30,0.4
128,128,0.0004,30,0.5
128,128,0.0004,50,0.1
128,128,0.0004,50,0.2
128,128,0.0004,50,0.3
128,128,0.0004,50,0.4
128,128,0.0004,50,0.5
128,128,0.0004,70,0.1
128,128,0.0004,70,0.2
128,128,0.0004,70,0.3
128,128,0.0004,70,0.4
128,128,0.0004,70,0.5
128,128,0.0005,30,0.1
128,128,0.0005,30,0.2
128,128,0.0005,30,0.3
128,128,0.0005,30,0.4
128,128,0.0005,30,0.5
128,128,0.0005,50,0.1
128,128,0.0005,50,0.2
128,128,0.0005,50,0.3
128,128,0.0005,50,0.4
128,128,0.0005,50,0.5
128,128,0.0005,70,0.1
128,128,0.0005,70,0.2
128,128,0.0005,70,0.3
128,128,0.0005,70,0.4
128,128,0.0005,70,0.5
128,128,0.0006,30,0.1
128,128,0.0006,30,0.2
128,128,0.0006,30,0.3
128,128,0.0006,30,0.4
128,128,0.0006,30,0.5
128,128,0.0006,50,0.1
128,128,0.0006,50,0.2
128,128,0.0006,50,0.3
128,128,0.0006,50,0.4
128,128,0.0006,50,0.5
128,128,0.0006,70,0.1
128,128,0.0006,70,0.2
128,128,0.0006,70,0.3
128,128,0.0006,70,0.4
128,128,0.0006,70,0.5
128,256,0.0001,30,0.1
128,256,0.0001,30,0.2
128,256,0.0001,30,0.3
128,256,0.0001,30,0.4
128,256,0.0001,30,0.5
128,256,0.0001,50,0.1
128,256,0.0001,50,0.2
128,256,0.0001,50,0.3
128,256,0.0001,50,0.4
128,256,0.0001,50,0.5
128,256,0.0001,70,0.1
128,256,0.0001,70,0.2
128,256,0.0001,70,0.3
128,256,0.0001,70,0.4
128,256,0.0001,70,0.5
128,256,0.0002,30,0.1
128,256,0.0002,30,0.2
128,256,0.0002,30,0.3
128,256,0.0002,30,0.4
128,256,0.0002,30,0.5
128,256,0.0002,50,0.1
128,256,0.0002,50,0.2
128,256,0.0002,50,0.3
128,256,0.0002,50,0.4
128,256,0.0002,50,0.5
128,256,0.0002,70,0.1
128,256,0.0002,70,0.2
128,256,0.0002,70,0.3
